LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1671015037.781231,51394,6467,1,BI,1,100,28320
1671015038.855894,52435,6658,1,BI,1,100,1080
1671015046.946320,60272,7976,1,BI,1,100,8040
1671015047.998271,61291,8136,1,BI,1,100,1040
1671015050.452136,63668,8551,1,BI,1,100,2440
1671015053.273513,66401,9012,1,BI,1,100,2800
1671015056.248709,69283,9499,1,BI,1,100,2960
1671015057.581456,70574,9707,1,BI,1,100,1320
1671015061.928627,74785,10424,1,BI,1,100,4320
1671015063.177755,75995,10642,1,BI,1,100,1240
1671015064.581733,77355,10881,1,BI,1,100,1400
1671015071.229984,83795,11986,1,BI,1,100,6600
1671015072.642221,85163,12213,1,BI,1,100,1400
1671015073.161486,85666,12303,1,BI,1,100,520
1671015074.848325,87300,12586,1,BI,1,100,1680
1671015076.335923,88741,12831,1,BI,1,100,1480
1671015077.504528,89873,13025,1,BI,1,100,1160
1671015079.034452,91355,13279,1,BI,1,100,1520
1671015126.565313,137397,21237,1,BI,1,100,47240
1671015142.147408,152491,23844,1,BI,1,100,15480
1671015142.790555,153114,23952,1,BI,1,100,640
