LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1671015037.781231,51394,6468,1,HR,1,100,21
1671015038.855894,52435,6659,1,HR,1,100,25
1671015046.946320,60272,7977,1,HR,1,100,23
1671015047.998271,61291,8137,1,HR,1,100,27
1671015050.452136,63668,8552,1,HR,1,100,27
1671015053.273513,66401,9013,1,HR,1,100,26
1671015056.248709,69283,9500,1,HR,1,100,25
1671015057.581456,70574,9708,1,HR,1,100,28
1671015061.928627,74785,10425,1,HR,1,100,26
1671015063.177755,75995,10643,1,HR,1,100,29
1671015064.581733,77355,10882,1,HR,1,100,30
1671015071.229984,83795,11987,1,HR,1,100,28
1671015072.642221,85163,12214,1,HR,1,100,30
1671015073.161486,85666,12304,1,HR,1,100,40
1671015074.848325,87300,12587,1,HR,1,100,39
1671015076.335923,88741,12832,1,HR,1,100,39
1671015077.504528,89873,13026,1,HR,1,100,41
1671015079.034452,91355,13280,1,HR,1,100,41
1671015126.565313,137397,21238,1,HR,1,100,36
1671015142.147408,152491,23845,1,HR,1,100,32
1671015142.790555,153114,23953,1,HR,1,100,40
